file_path,start_time,end_time,species_name,confidence
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:00.00","00:00:03.00","Poecile atricapillus_Black-capped Chickadee",0.813965
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:03.00","00:00:06.00","Poecile atricapillus_Black-capped Chickadee",0.308350
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:06.00","00:00:09.00","Baeolophus bicolor_Tufted Titmouse",0.186401
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:09.00","00:00:12.00","Haemorhous mexicanus_House Finch",0.639160
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:18.00","00:00:21.00","Cyanocitta cristata_Blue Jay",0.435303
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:21.00","00:00:24.00","Cyanocitta cristata_Blue Jay",0.329102
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:21.00","00:00:24.00","Haemorhous mexicanus_House Finch",0.186646
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:24.00","00:00:27.00","Cyanocitta cristata_Blue Jay",0.174927
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:27.00","00:00:30.00","Junco hyemalis_Dark-eyed Junco",0.218750
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:33.00","00:00:36.00","Junco hyemalis_Dark-eyed Junco",0.458984
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:36.00","00:00:39.00","Junco hyemalis_Dark-eyed Junco",0.353760
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:39.00","00:00:42.00","Haemorhous mexicanus_House Finch",0.253174
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:42.00","00:00:45.00","Junco hyemalis_Dark-eyed Junco",0.737793
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:48.00","00:00:51.00","Cyanocitta cristata_Blue Jay",0.129517
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:51.00","00:00:54.00","Haemorhous mexicanus_House Finch",0.256592
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:54.00","00:00:57.00","Haemorhous mexicanus_House Finch",0.606934
"/home/{user}/Code/birdnet/example/soundscape.wav","00:00:57.00","00:01:00.00","Haemorhous mexicanus_House Finch",0.161621
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:00.00","00:01:03.00","Junco hyemalis_Dark-eyed Junco",0.555176
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:09.00","00:01:12.00","Haemorhous mexicanus_House Finch",0.291504
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:12.00","00:01:15.00","Haemorhous mexicanus_House Finch",0.563965
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:18.00","00:01:21.00","Haemorhous mexicanus_House Finch",0.256104
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:24.00","00:01:27.00","Haemorhous mexicanus_House Finch",0.280273
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:30.00","00:01:33.00","Spinus tristis_American Goldfinch",0.419189
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:33.00","00:01:36.00","Haemorhous mexicanus_House Finch",0.316650
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:36.00","00:01:39.00","Spinus tristis_American Goldfinch",0.476562
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:39.00","00:01:42.00","Haemorhous mexicanus_House Finch",0.157349
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:42.00","00:01:45.00","Haemorhous mexicanus_House Finch",0.445801
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:45.00","00:01:48.00","Poecile atricapillus_Black-capped Chickadee",0.179077
"/home/{user}/Code/birdnet/example/soundscape.wav","00:01:57.00","00:02:00.00","Spinus tristis_American Goldfinch",0.392334
